out_ph_range
---------------------------
16734...{'ionic strength': '20', 'ph': '4.6', 'pressure': '1', 'temperature': '283'}
16747...{'ionic strength': '0', 'ph': '-1', 'pressure': '1', 'temperature': '310'}
16767...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '310'}
16801...{'ionic strength': '125', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
16817...{'ionic strength': '-1', 'ph': '4.2', 'pressure': '1', 'temperature': '298'}
16907...{'ionic strength': '0', 'ph': '4.0', 'pressure': '1', 'temperature': '305'}
16954...{'ionic strength': '0.0', 'ph': '4.0', 'pressure': '1', 'temperature': '303'}
16961...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
17020...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
17030...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
17062...{'ionic strength': '0', 'ph': '-1', 'pressure': '1', 'temperature': '273'}
17081...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '293.2'}
17082...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '293.2'}
17087...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '293.2'}
17089...{'ionic strength': '20', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
17127...{'ionic strength': '0', 'ph': '4.2', 'pressure': '1', 'temperature': '273'}
17153...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
17154...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
17155...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
17156...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
17174...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '310.2'}
17175...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
17213...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '293.2'}
17279...{'ionic strength': '20', 'ph': '4.5', 'pressure': '1', 'temperature': '310'}
17322...{'ionic strength': '0.02', 'ph': '3.5', 'pressure': '1', 'temperature': '293.1'}
17382...{'ionic strength': '200', 'ph': '4.0', 'pressure': '-1', 'temperature': '298'}
17398...{'ionic strength': '0.140', 'ph': '4.8', 'pressure': '1', 'temperature': '298'}
17430...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '316'}
17453...{'ionic strength': '0.05', 'ph': '4.4', 'pressure': '1', 'temperature': '297'}
17546...{'ionic strength': '10', 'ph': '8.5', 'pressure': '1', 'temperature': '298'}
17561...{'ionic strength': '10.15', 'ph': '2.7', 'pressure': '1', 'temperature': '314'}
17576...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17582...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17792...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '303'}
17835...{'ionic strength': '0', 'ph': '4.3', 'pressure': '1', 'temperature': '298'}
17868...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17869...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17870...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17871...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17872...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17873...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17874...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17875...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
17902...{'ionic strength': '150', 'ph': '4.7', 'pressure': '1', 'temperature': '310'}
17965...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
17971...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
17973...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '273'}
18010...{'ionic strength': '0.070', 'ph': '4.8', 'pressure': '1', 'temperature': '273'}
18080...{'ionic strength': '20', 'ph': '4.6', 'pressure': '1', 'temperature': '273'}
18093...{'ionic strength': '-1', 'ph': '4.65', 'pressure': '1', 'temperature': '318'}
18096...{'ionic strength': '-1', 'ph': '4.65', 'pressure': '1', 'temperature': '318'}
18135...{'ionic strength': '25', 'ph': '3.5', 'pressure': '1', 'temperature': '298.15'}
18166...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
18225...{'ionic strength': '-1', 'ph': '4', 'pressure': '-1', 'temperature': '310'}
18227...{'ionic strength': '-1', 'ph': '-1', 'pressure': '-1', 'temperature': '310'}
18316...{'ionic strength': '0.11', 'ph': '4.6', 'pressure': '1', 'temperature': '293'}
18345...{'ionic strength': '0.01', 'ph': '4.4', 'pressure': '1', 'temperature': '293'}
18415...{'ionic strength': '10', 'ph': '4.5', 'pressure': '1', 'temperature': '303'}
18463...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298.1'}
18596...{'ionic strength': '0.3', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
18705...{'ionic strength': '0.4', 'ph': '4', 'pressure': '1', 'temperature': '298'}
18723...{'ionic strength': '-1', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
18822...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
18853...{'ionic strength': '0.100', 'ph': '4.500', 'pressure': '1.000', 'temperature': '323.000'}
18863...{'ionic strength': '0.000', 'ph': '0.000', 'pressure': '1.000', 'temperature': '298.000'}
18870...{'ionic strength': '0.112', 'ph': '2.5', 'pressure': '1', 'temperature': '298'}
18879...{'ionic strength': '130', 'ph': '4.5', 'pressure': '1', 'temperature': '315'}
18910...{'ionic strength': '150.000', 'ph': '8.800', 'pressure': '1.000', 'temperature': '298.000'}
18959...{'ionic strength': '150', 'ph': '3.7', 'pressure': '1', 'temperature': '305'}
19013...{'ionic strength': '110', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
19041...{'ionic strength': '20', 'ph': '4.5', 'pressure': '1', 'temperature': '318'}
19049...{'ionic strength': '50.000', 'ph': '4.700', 'pressure': '1.000', 'temperature': '303.000'}
19085...{'ionic strength': '50', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
19117...{'ionic strength': '0.005', 'ph': '4', 'pressure': '1', 'temperature': '298.15'}
19169...{'ionic strength': '10', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
19216...{'ionic strength': 'NOT MEASURED', 'ph': '-1', 'pressure': '1', 'temperature': '303.15'}
19237...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '273'}
19268...{'ionic strength': '10', 'ph': '4.6', 'pressure': '1', 'temperature': '299'}
